"round","match_number","red1","red2","red3","blue1","blue2","blue3"
"qf",1,3679,2468,6672,9128,324,8019
"qf",1,5892,2848,9156,3679,4063,2882
"qf",1,4063,3035,2848,5431,9140,5414
"qf",1,3679,2468,6672,9128,324,8019
"qf",1,5414,9140,5431,6800,2689,8177
"qf",1,8019,324,9128,5431,9140,5414
"qf",1,3679,2468,6672,3847,2582,5427
"qf",1,8177,2689,6800,5431,9140,5414
"qf",1,1296,6377,5892,2848,3035,4063
"qf",1,9136,1477,6369,9128,324,8019
"qf",1,5427,2582,3847,5431,9140,5414
"qf",1,1296,6377,5892,6369,1477,9136
"qf",1,3679,2468,6672,6800,2689,8177
"qf",1,4063,3035,2848,9128,324,8019
"qf",1,8177,2689,6800,6369,1477,9136
"qf",2,3679,2468,6672,9128,8019,4219
"qf",2,9181,4219,2689,9054,324,5427
"qf",3,2468,3802,8177,7540,9080,6672
"qf",4,1296,6369,2582,9128,8019,5414
"qf",5,9136,1477,6377,5613,6800,8827
"qf",6,9051,1255,3847,3035,5923,9140
"qf",7,4587,5431,3679,7503,4639,7540
"qf",8,2468,5414,9080,1296,4219,4063
"qf",9,9136,6369,3802,324,9128,9156
"qf",10,2582,5613,5923,8019,9181,9140
"qf",11,5427,3035,7503,6800,2848,4587
"qf",12,5431,9054,8827,1255,5892,8177
"qf",13,2882,6377,4639,1477,3847,6672
"qf",14,9051,3679,9156,2689,2582,7540
"qf",15,4587,9181,6369,2468,1296,3035
"qf",16,324,3802,4063,5613,5431,5427
"qf",17,6377,8827,5923,9140,7503,1477
"qf",18,8019,9080,1255,2882,5414,6800
"qf",19,4639,9054,4219,5892,9128,3847
"qf",20,6672,9136,8177,2848,2689,9051
"qf",21,3802,9156,9140,4063,8827,7503
"qf",22,5431,5923,5414,6377,6369,3035
"qf",23,3847,7540,2882,6800,5427,1296
"qf",24,9080,2582,2848,5892,4639,2689
"qf",25,4219,8177,8019,1255,324,5613
"qf",26,1477,3679,9128,9136,2468,4587
"qf",27,6672,6800,9051,9181,5414,9054
"qf",28,7503,6369,5892,3847,2689,4063
"qf",29,2582,9140,4219,5427,9156,4639
"qf",30,8177,7540,1296,5923,1477,3802
"qf",31,6672,5613,9054,3679,9136,1255
"qf",32,8827,2468,9051,8019,5431,2848
"qf",33,9181,2882,9128,6377,9080,4587
"qf",34,3035,4063,5414,8177,324,4639
"qf",35,9140,9136,7540,4219,6672,6369
"qf",36,1477,9156,6800,2468,5431,5892
"qf",37,2689,8019,5923,8827,4587,9128
"qf",38,2848,5427,9181,1296,3847,9080
"qf",39,3679,5613,3802,9051,2882,3035
"qf",40,7503,324,6377,1255,2582,9054
"qf",41,2689,9140,4587,4219,5414,1477
"qf",42,9156,9136,5431,9080,5923,9181
"qf",43,2848,2882,5613,6369,9128,2468
"qf",44,3035,1255,6672,2582,4639,4063
"qf",45,7540,3679,324,8827,5427,3847
"qf",46,9054,6377,5892,3802,1296,8019
"qf",47,7503,6800,4219,5923,8177,9051
"qf",48,9128,3035,5613,4063,2848,9136
"qf",49,1255,2689,1477,9156,9181,3847
"qf",50,5414,6672,6377,5892,5427,7540
"qf",51,6369,9140,324,6800,9080,3679
"qf",52,4639,8019,2468,9054,7503,3802
"qf",53,2882,1296,8827,8177,4587,2582
"qf",54,9051,7540,5613,5431,6377,2689
"qf",55,5414,5892,3679,5923,4219,9136
"qf",56,4063,9181,1255,9128,2848,9140
"qf",57,3847,6800,2468,8827,3802,2582
"qf",58,4587,9054,1477,5427,9051,6369
"qf",59,1296,4639,5431,2882,7503,8177
"qf",60,9080,3035,324,8019,9156,6672
"qf",61,7540,4219,2848,3802,6377,9181
"qf",62,6800,5892,2582,5613,2468,2689
"qf",63,5431,3847,7503,5414,4587,1296
"qf",64,5923,4063,9128,324,1477,2882
"qf",65,3679,8177,5427,3035,8019,9136
"qf",66,6369,8827,1255,9080,9051,4639
"qf",67,9156,9054,1296,6672,9140,5431
"qf",68,4587,7503,5923,5613,5892,4219
"qf",69,324,2582,5414,2848,1477,2468
"qf",70,5427,2689,9136,3802,1255,2882
"qf",71,9054,4063,9080,6377,7540,8019
"qf",72,4639,9128,6800,9156,3035,8827
"qf",73,8177,3847,6369,9181,6672,3679
"qf",74,9140,1296,5892,9136,9051,324
"qf",75,4219,3802,9080,2582,2882,5431
"qf",76,4639,1255,2848,7540,5923,6800
"qf",77,3847,4587,8019,4063,5613,9156
"qf",78,1477,8827,9181,6369,3679,9054
"qf",79,9128,6672,5427,5414,9051,7503
"qf",80,2689,8177,3035,9140,2468,6377
