"teamNum","matchesPlayedi","EPAi","EPA","matchesPlayed","ECT","aPPG","aPPGa","aPPGt","aPPGe","SEf","aSt","aSa","aS","BC"
"1255",42,32.08,32.08,42,0,0,0,0,0,0,0,0,0,0
"1296",44,40.67,40.67,44,0,0,0,0,0,0,0,0,0,0
"1477",47,48.65,48.65,47,0,0,0,0,0,0,0,0,0,0
"2468",53,62.09,62.09,53,0,0,0,0,0,0,0,0,0,0
"2582",51,43.9,43.9,51,0,0,0,0,0,0,0,0,0,0
"2689",49,33.8,33.8,49,0,0,0,0,0,0,0,0,0,0
"2848",45,42.19,42.19,45,0,0,0,0,0,0,0,0,0,0
"2882",40,22.83,22.83,40,0,0,0,0,0,0,0,0,0,0
"3035",49,41.95,41.95,49,0,0,0,0,0,0,0,0,0,0
"324",54,46.72,46.72,54,0,0,0,0,0,0,0,0,0,0
"3679",51,32.39,32.39,51,0,0,0,0,0,0,0,0,0,0
"3802",45,37.84,37.84,45,0,0,0,0,0,0,0,0,0,0
"3847",51,53.08,53.08,51,0,0,0,0,0,0,0,0,0,0
"4063",45,35.62,35.62,45,0,0,0,0,0,0,0,0,0,0
"4219",45,33.4,33.4,45,0,0,0,0,0,0,0,0,0,0
"4587",42,26.3,26.3,42,0,0,0,0,0,0,0,0,0,0
"4639",40,25.05,25.05,40,0,0,0,0,0,0,0,0,0,0
"5414",52,48.73,48.73,52,0,0,0,0,0,0,0,0,0,0
"5427",46,38.57,38.57,46,0,0,0,0,0,0,0,0,0,0
"5431",49,34.41,34.41,49,0,0,0,0,0,0,0,0,0,0
"5613",45,25.79,25.79,45,0,0,0,0,0,0,0,0,0,0
"5892",47,39.68,39.68,47,0,0,0,0,0,0,0,0,0,0
"5923",45,30.17,30.17,45,0,0,0,0,0,0,0,0,0,0
"6369",45,41.24,41.24,45,0,0,0,0,0,0,0,0,0,0
"6377",46,51.3,51.3,46,0,0,0,0,0,0,0,0,0,0
"6672",55,67.26,67.26,55,0,0,0,0,0,0,0,0,0,0
"6800",51,49.98,49.98,51,0,0,0,0,0,0,0,0,0,0
"7503",40,22.65,22.65,40,0,0,0,0,0,0,0,0,0,0
"7540",42,31.93,31.93,42,0,0,0,0,0,0,0,0,0,0
"8019",49,37.43,37.43,49,0,0,0,0,0,0,0,0,0,0
"8177",48,50.38,50.38,48,0,0,0,0,0,0,0,0,0,0
"8827",44,29.09,29.09,44,0,0,0,0,0,0,0,0,0,0
"9051",48,21.21,21.21,48,0,0,0,0,0,0,0,0,0,0
"9054",44,26.76,26.76,44,0,0,0,0,0,0,0,0,0,0
"9080",39,20.84,20.84,39,0,0,0,0,0,0,0,0,0,0
"9128",53,40.96,40.96,53,0,0,0,0,0,0,0,0,0,0
"9136",45,37.56,37.56,45,0,0,0,0,0,0,0,0,0,0
"9140",47,41.56,41.56,47,0,0,0,0,0,0,0,0,0,0
"9156",43,30.63,30.63,43,0,0,0,0,0,0,0,0,0,0
"9181",38,17.69,17.69,38,0,0,0,0,0,0,0,0,0,0
